,Unnamed: 0,year,first-author,first-author-affiliation,first-author-affiliation-country,last-author,last-author-affiliation,last-author-affiliation-country,journal/conference,title,number-of-authors,paper-url,DBLP-url
1940,1940,2016,Karol Gregor,Google DeepMind,,Daan Wierstra,Google DeepMind,,NIPS,towards conceptual compression.,5,https://proceedings.neurips.cc/paper/2016/hash/4abe17a1c80cbdd2aa241b70840879de-Abstract.html,https://dblp.org/rec/conf/nips/GregorBRDW16
1941,1941,2016,Jean-Bastien Grill,,,Rémi Munos,,,NIPS,blazing the trails before beating the path - sample-efficient monte-carlo planning.,3,https://proceedings.neurips.cc/paper/2016/hash/7b4773c039d539af17c883eb9283dd14-Abstract.html,https://dblp.org/rec/conf/nips/GrillVM16
1942,1942,2016,Oleg Grinchuk,Skolkovo Institute of Science and Technology,,Victor S. Lempitsky,Samsung,,NIPS,learnable visual markers.,3,https://proceedings.neurips.cc/paper/2016/hash/2d405b367158e3f12d7c1e31a96b3af3-Abstract.html,https://dblp.org/rec/conf/nips/GrinchukLL16
1943,1943,2016,Roger B. Grosse,University of Toronto,,Daniel M. Roy 0001,Univ of Toronto & Vector,,NIPS,measuring the reliability of mcmc inference with bidirectional monte carlo.,3,https://proceedings.neurips.cc/paper/2016/hash/0e9fa1f3e9e66792401a6972d477dcc3-Abstract.html,https://dblp.org/rec/conf/nips/GrosseAR16
1944,1944,2016,Aditya Grover,Stanford University,,Stefano Ermon,Stanford,,NIPS,variational bayes on monte carlo steroids.,2,https://proceedings.neurips.cc/paper/2016/hash/0c9ebb2ded806d7ffda75cd0b95eb70c-Abstract.html,https://dblp.org/rec/conf/nips/GroverE16
1945,1945,2016,Audrunas Gruslys,Google DeepMind,,Alex Graves,Google DeepMind,,NIPS,memory-efficient backpropagation through time.,5,https://proceedings.neurips.cc/paper/2016/hash/a501bebf79d570651ff601788ea9d16d-Abstract.html,https://dblp.org/rec/conf/nips/GruslysMDLG16
1946,1946,2016,Qilong Gu,University of Minnesota,,Arindam Banerjee 0001,"University of Minnesota, Twin Cities",,NIPS,high dimensional structured superposition models.,2,https://proceedings.neurips.cc/paper/2016/hash/d757719ed7c2b66dd17dcee2a3cb29f4-Abstract.html,https://dblp.org/rec/conf/nips/GuB16
1947,1947,2016,Umut Güçlü,Radboud University,,Marcel A. J. van Gerven,Radboud University,,NIPS,brains on beats.,5,https://proceedings.neurips.cc/paper/2016/hash/b9d487a30398d42ecff55c228ed5652b-Abstract.html,https://dblp.org/rec/conf/nips/GucluTHGG16
1948,1948,2016,Suriya Gunasekar,UT Austin,,Joydeep Ghosh,UT Austin,,NIPS,preference completion from partial rankings.,3,https://proceedings.neurips.cc/paper/2016/hash/872488f88d1b2db54d55bc8bba2fad1b-Abstract.html,https://dblp.org/rec/conf/nips/GunasekarKG16
1949,1949,2016,Yiwen Guo,Intel Labs China,,Yurong Chen,Intel Labs China,,NIPS,dynamic network surgery for efficient dnns.,3,https://proceedings.neurips.cc/paper/2016/hash/2823f4797102ce1a1aec05359cc16dd9-Abstract.html,https://dblp.org/rec/conf/nips/GuoYC16
1950,1950,2016,Rishi Gupta,Stanford,,Sergei Vassilvitskii,Google,,NIPS,on mixtures of markov chains.,3,https://proceedings.neurips.cc/paper/2016/hash/8b5700012be65c9da25f49408d959ca0-Abstract.html,https://dblp.org/rec/conf/nips/Gupta0V16
1951,1951,2016,Eli Gutin,Massachusetts Institute of Tec,,Vivek F. Farias,Massachusetts Institute of Technology,,NIPS,optimistic gittins indices.,2,https://proceedings.neurips.cc/paper/2016/hash/452bf208bf901322968557227b8f6efe-Abstract.html,https://dblp.org/rec/conf/nips/GutinF16
1952,1952,2016,Tuomas Haarnoja,,,Pieter Abbeel,,,NIPS,backprop kf - learning discriminative deterministic state estimators.,4,https://proceedings.neurips.cc/paper/2016/hash/697e382cfd25b07a3e62275d3ee132b3-Abstract.html,https://dblp.org/rec/conf/nips/HaarnojaALA16
1953,1953,2016,Dylan Hadfield-Menell,UC Berkeley,,Anca D. Dragan,UC Berkeley,,NIPS,cooperative inverse reinforcement learning.,4,https://proceedings.neurips.cc/paper/2016/hash/c3395dd46c34fa7fd8d729d8cf88b7a8-Abstract.html,https://dblp.org/rec/conf/nips/Hadfield-Menell16
1954,1954,2016,Davood Hajinezhad,,,Zhaoran Wang,,,NIPS,nestt - a nonconvex primal-dual splitting method for distributed and stochastic optimization.,4,https://proceedings.neurips.cc/paper/2016/hash/495dabfd0ca768a3c3abd672079f48b6-Abstract.html,https://dblp.org/rec/conf/nips/HajinezhadHZW16
1955,1955,2016,Jun Han 0002,Dartmouth College,,Qiang Liu 0001,Dartmouth College,,NIPS,bootstrap model aggregation for distributed statistical learning.,2,https://proceedings.neurips.cc/paper/2016/hash/1ce927f875864094e3906a4a0b5ece68-Abstract.html,https://dblp.org/rec/conf/nips/HanL16
1956,1956,2016,Shizhong Han,University of South Carolina,,Yan Tong,University of South Carolina,,NIPS,incremental boosting convolutional neural network for facial action unit recognition.,4,https://proceedings.neurips.cc/paper/2016/hash/d09bf41544a3365a46c9077ebb5e35c3-Abstract.html,https://dblp.org/rec/conf/nips/HanMKT16
1957,1957,2016,Moritz Hardt,Google Brain,,Nati Srebro,TTI-Chicago,,NIPS,equality of opportunity in supervised learning.,3,https://proceedings.neurips.cc/paper/2016/hash/9d2682367c3935defcb1f9e247a97c0d-Abstract.html,https://dblp.org/rec/conf/nips/HardtPNS16
1958,1958,2016,Kameron D. Harris,University of Washington,,Eric Shea-Brown,University of Washington,,NIPS,high resolution neural connectivity from incomplete tracing data using nonnegative spline regression.,3,https://proceedings.neurips.cc/paper/2016/hash/f337d999d9ad116a7b4f3d409fcc6480-Abstract.html,https://dblp.org/rec/conf/nips/HarrisMS16
1959,1959,2016,Jason S. Hartford,University of British Columbia,,Kevin Leyton-Brown,University of British Columbia,,NIPS,deep learning for predicting human strategic behavior.,3,https://proceedings.neurips.cc/paper/2016/hash/7eb3c8be3d411e8ebfab08eba5f49632-Abstract.html,https://dblp.org/rec/conf/nips/HartfordWL16
1960,1960,2016,David F. Harwath,MIT CSAIL,,James R. Glass,MIT CSAIL,,NIPS,unsupervised learning of spoken language with visual context.,3,https://proceedings.neurips.cc/paper/2016/hash/82b8a3434904411a9fdc43ca87cee70c-Abstract.html,https://dblp.org/rec/conf/nips/HarwathTG16
1961,1961,2016,Hado van Hasselt,DeepMind,,David Silver,DeepMind,,NIPS,learning values across many orders of magnitude.,5,https://proceedings.neurips.cc/paper/2016/hash/5227b6aaf294f5f027273aebf16015f2-Abstract.html,https://dblp.org/rec/conf/nips/HasseltGHMS16
1962,1962,2016,Kohei Hayashi,AIST,,Yuichi Yoshida,NII,,NIPS,minimizing quadratic functions in constant time.,2,https://proceedings.neurips.cc/paper/2016/hash/feab05aa91085b7a8012516bc3533958-Abstract.html,https://dblp.org/rec/conf/nips/HayashiY16
1963,1963,2016,Elad Hazan,Princeton University,,Tengyu Ma,Princeton University,,NIPS,a non-generative framework and convex relaxations for unsupervised learning.,2,https://proceedings.neurips.cc/paper/2016/hash/be3e9d3f7d70537357c67bb3f4086846-Abstract.html,https://dblp.org/rec/conf/nips/HazanM16
1964,1964,2016,Bryan D. He,,,Christopher Ré,,,NIPS,scan order in gibbs sampling - models in which it matters and bounds on how much.,4,https://proceedings.neurips.cc/paper/2016/hash/e4da3b7fbbce2345d7772b0674a318d5-Abstract.html,https://dblp.org/rec/conf/nips/HeSMR16
1965,1965,2016,Kun He 0001,Huazhong University of Science and Technology,,John E. Hopcroft,Cornell University,,NIPS,a powerful generative model using random weights for the deep image representation.,3,https://proceedings.neurips.cc/paper/2016/hash/58238e9ae2dd305d79c2ebc8c1883422-Abstract.html,https://dblp.org/rec/conf/nips/HeWH16
1966,1966,2016,Xinran He,USC,,Yan Liu 0002,University of Southern California,,NIPS,learning influence functions from incomplete observations.,4,https://proceedings.neurips.cc/paper/2016/hash/68b1fbe7f16e4ae3024973f12f3cb313-Abstract.html,https://dblp.org/rec/conf/nips/HeX0L16
1967,1967,2016,Di He,Microsoft,,Wei-Ying Ma,Microsoft,,NIPS,dual learning for machine translation.,7,https://proceedings.neurips.cc/paper/2016/hash/5b69b9cb83065d403869739ae7f0995e-Abstract.html,https://dblp.org/rec/conf/nips/HeXQWYLM16
1968,1968,2016,Chinmay Hegde,Iowa State University,,Ludwig Schmidt,MIT,,NIPS,fast recovery from a union of subspaces.,3,https://proceedings.neurips.cc/paper/2016/hash/8929c70f8d710e412d38da624b21c3c8-Abstract.html,https://dblp.org/rec/conf/nips/HegdeIS16
1969,1969,2016,Ruth Heller,Tel-Aviv University,,Yair Heller,Independent,,NIPS,multivariate tests of association based on univariate tests.,2,https://proceedings.neurips.cc/paper/2016/hash/7ef605fc8dba5425d6965fbd4c8fbe1f-Abstract.html,https://dblp.org/rec/conf/nips/HellerH16
1970,1970,2016,Mark Herbster,University College London,,Massimiliano Pontil,IIT & UCL,,NIPS,mistake bounds for binary matrix completion.,3,https://proceedings.neurips.cc/paper/2016/hash/d46e1fcf4c07ce4a69ee07e4134bcef1-Abstract.html,https://dblp.org/rec/conf/nips/HerbsterPP16
1971,1971,2016,Tue Herlau,Technical University of Denmark,,Morten Mørup,Technical University of Denmark,,NIPS,completely random measures for modelling block-structured sparse networks.,3,https://proceedings.neurips.cc/paper/2016/hash/3937230de3c8041e4da6ac3246a888e8-Abstract.html,https://dblp.org/rec/conf/nips/HerlauSM16
1972,1972,2016,Ivan Herreros,Universitat Pompeu Fabra,,Paul F. M. J. Verschure,ICREA - Universitat Pompeu Fabra,,NIPS,a forward model at purkinje cell synapses facilitates cerebellar anticipatory control.,3,https://proceedings.neurips.cc/paper/2016/hash/65699726a3c601b9f31bf04019c8593c-Abstract.html,https://dblp.org/rec/conf/nips/HerrerosAV16
1973,1973,2016,R. Devon Hjelm,University of New Mexico,,Junyoung Chung,University of Montreal,,NIPS,iterative refinement of the approximate posterior for directed belief networks.,6,https://proceedings.neurips.cc/paper/2016/hash/20c9f5700da1088260df60fcc5df2b53-Abstract.html,https://dblp.org/rec/conf/nips/HjelmSCJCC16
1974,1974,2016,Jonathan Ho,Stanford,,Stefano Ermon,Stanford,,NIPS,generative adversarial imitation learning.,2,https://proceedings.neurips.cc/paper/2016/hash/cc7e2b878868cbae992d1fb743995d8f-Abstract.html,https://dblp.org/rec/conf/nips/HoE16
1975,1975,2016,Chien-Ju Ho,Cornell University,,Yiling Chen,Harvard University,,NIPS,eliciting categorical data for optimal aggregation.,3,https://proceedings.neurips.cc/paper/2016/hash/018b59ce1fd616d874afad0f44ba338d-Abstract.html,https://dblp.org/rec/conf/nips/HoFC16
1976,1976,2016,Mark K. Ho,,,Joseph L. Austerweil,,,NIPS,showing versus doing - teaching by demonstration.,5,https://proceedings.neurips.cc/paper/2016/hash/b5488aeff42889188d03c9895255cecc-Abstract.html,https://dblp.org/rec/conf/nips/HoLMCA16
1977,1977,2016,William Hoiles,University of California,,Mihaela van der Schaar,"University of California, Los Angeles",,NIPS,a non-parametric learning method for confidently estimating patient's clinical state and dynamics.,2,https://proceedings.neurips.cc/paper/2016/hash/062ddb6c727310e76b6200b7c71f63b5-Abstract.html,https://dblp.org/rec/conf/nips/HoilesS16
1978,1978,2016,Thibaut Horel,Harvard University,,Yaron Singer,Harvard University,,NIPS,maximization of approximately submodular functions.,2,https://proceedings.neurips.cc/paper/2016/hash/81c8727c62e800be708dbf37c4695dff-Abstract.html,https://dblp.org/rec/conf/nips/HorelS16
1979,1979,2016,Mohammad Javad Hosseini,University of Washington,,Su-In Lee,University of Washington,,NIPS,learning sparse gaussian graphical models with overlapping blocks.,2,https://proceedings.neurips.cc/paper/2016/hash/6be5336db2c119736cf48f475e051bfe-Abstract.html,https://dblp.org/rec/conf/nips/HosseiniL16
1980,1980,2016,Rein Houthooft,,,Pieter Abbeel,,,NIPS,vime - variational information maximizing exploration.,6,https://proceedings.neurips.cc/paper/2016/hash/abd815286ba1007abfbb8415b83ae2cf-Abstract.html,https://dblp.org/rec/conf/nips/HouthooftCCDSTA16
1981,1981,2016,Wei-Shou Hsu,University of Waterloo,,Pascal Poupart,University of Waterloo & Vector Institute,,NIPS,online bayesian moment matching for topic modeling with unknown number of topics.,2,https://proceedings.neurips.cc/paper/2016/hash/0233f3bb964cf325a30f8b1c2ed2da93-Abstract.html,https://dblp.org/rec/conf/nips/HsuP16
1982,1982,2016,Kejun Huang,,,Nikos D. Sidiropoulos,,,NIPS,anchor-free correlated topic modeling - identifiability and algorithm.,3,https://proceedings.neurips.cc/paper/2016/hash/d707329bece455a462b58ce00d1194c9-Abstract.html,https://dblp.org/rec/conf/nips/HuangFS16
1983,1983,2016,Gao Huang,Cornell University,,Kilian Q. Weinberger,Cornell University / ASAPP Research,,NIPS,supervised word mover's distance.,6,https://proceedings.neurips.cc/paper/2016/hash/10c66082c124f8afe3df4886f5e516e0-Abstract.html,https://dblp.org/rec/conf/nips/HuangGKSSW16
1984,1984,2016,Ruitong Huang,,,Csaba Szepesvári,,,NIPS,following the leader and fast rates in linear prediction - curved constraint sets and other regularities.,4,https://proceedings.neurips.cc/paper/2016/hash/55a988dfb00a914717b3000a3374694c-Abstract.html,https://dblp.org/rec/conf/nips/HuangLGS16
1985,1985,2016,Chen Huang,Chinese University of HongKong,,Xiaoou Tang,The Chinese University of Hong Kong,,NIPS,local similarity-aware deep feature embedding.,3,https://proceedings.neurips.cc/paper/2016/hash/556f391937dfd4398cbac35e050a2177-Abstract.html,https://dblp.org/rec/conf/nips/HuangLT16
1986,1986,2016,Tzu-Kuo Huang,Uber Advanced Technologies Center,,Xiaojin Zhu 0001,University of Wisconsin-Madison,,NIPS,active learning with oracle epiphany.,5,https://proceedings.neurips.cc/paper/2016/hash/299fb2142d7de959380f91c01c3a293c-Abstract.html,https://dblp.org/rec/conf/nips/HuangLVA016
1987,1987,2016,He Huang,,,Martin P. Paulus,,,NIPS,learning under uncertainty - a comparison between r-w and bayesian approach.,2,https://proceedings.neurips.cc/paper/2016/hash/14d9e8007c9b41f57891c48e07c23f57-Abstract.html,https://dblp.org/rec/conf/nips/HuangP16
1988,1988,2016,Chendi Huang,,,Yuan Yao 0011,,,NIPS,split lbi - an iterative regularization path with structural sparsity.,4,https://proceedings.neurips.cc/paper/2016/hash/2451041557a22145b3701b0184109cab-Abstract.html,https://dblp.org/rec/conf/nips/HuangSXY16
1989,1989,2016,Itay Hubara,Technion,,Yoshua Bengio,Université de Montréal,,NIPS,binarized neural networks.,5,https://proceedings.neurips.cc/paper/2016/hash/d8330f857a17c53d217014ee776bfd50-Abstract.html,https://dblp.org/rec/conf/nips/HubaraCSEB16
1990,1990,2016,Jonathan H. Huggins,MIT,,Tamara Broderick,MIT,,NIPS,coresets for scalable bayesian logistic regression.,3,https://proceedings.neurips.cc/paper/2016/hash/2b0f658cbffd284984fb11d90254081f-Abstract.html,https://dblp.org/rec/conf/nips/HugginsCB16
1991,1991,2016,Aapo Hyvärinen,University of Helsinki,,Hiroshi Morioka,University of Helsinki,,NIPS,unsupervised feature extraction by time-contrastive learning and nonlinear ica.,2,https://proceedings.neurips.cc/paper/2016/hash/d305281faf947ca7acade9ad5c8c818c-Abstract.html,https://dblp.org/rec/conf/nips/HyvarinenM16
1992,1992,2016,Ahmed M. Alaa,,,Mihaela van der Schaar,,,NIPS,balancing suspense and surprise - timely decision making with endogenous information acquisition.,2,https://proceedings.neurips.cc/paper/2016/hash/fe70c36866add1572a8e2b96bfede7bf-Abstract.html,https://dblp.org/rec/conf/nips/IbrahimS16
1993,1993,2016,Geoffrey Irving,Google,,Josef Urban,Czech Technical University in Prague,,NIPS,deepmath - deep sequence models for premise selection.,6,https://proceedings.neurips.cc/paper/2016/hash/f197002b9a0853eca5e046d9ca4663d5-Abstract.html,https://dblp.org/rec/conf/nips/IrvingSAECU16
1994,1994,2016,Shinji Ito,NEC Coorporation,,Ryohei Fujimaki,NEC Data Science Research Laboratories,,NIPS,large-scale price optimization via network flow.,2,https://proceedings.neurips.cc/paper/2016/hash/cb79f8fa58b91d3af6c9c991f63962d3-Abstract.html,https://dblp.org/rec/conf/nips/ItoF16
1995,1995,2016,Tomoharu Iwata,NTT,,Makoto Yamada,Kyoto University,,NIPS,multi-view anomaly detection via robust probabilistic latent variable models.,2,https://proceedings.neurips.cc/paper/2016/hash/0f96613235062963ccde717b18f97592-Abstract.html,https://dblp.org/rec/conf/nips/IwataY16
1996,1996,2016,Shahin Jabbari,,,Zhiwei Steven Wu,,,NIPS,learning from rational behavior - predicting solutions to unknown linear programs.,4,https://proceedings.neurips.cc/paper/2016/hash/ca8155f4d27f205953f9d3d7974bdd70-Abstract.html,https://dblp.org/rec/conf/nips/JabbariRRW16
1997,1997,2016,Lalit Jain,University of Michigan,,Robert D. Nowak,University of Wisconsin Madison,,NIPS,finite sample prediction and recovery bounds for ordinal embedding.,3,https://proceedings.neurips.cc/paper/2016/hash/4e0d67e54ad6626e957d15b08ae128a6-Abstract.html,https://dblp.org/rec/conf/nips/JainJN16
1998,1998,2016,Shantanu Jain,Indiana University,,Predrag Radivojac,Indiana University,,NIPS,estimating the class prior and posterior from noisy positives and unlabeled data.,3,https://proceedings.neurips.cc/paper/2016/hash/79a49b3e3762632813f9e35f4ba53d6c-Abstract.html,https://dblp.org/rec/conf/nips/JainWR16
1999,1999,2016,Navdeep Jaitly,Google Brain,,Samy Bengio,Apple,,NIPS,an online sequence-to-sequence model using partial conditioning.,6,https://proceedings.neurips.cc/paper/2016/hash/312351bff07989769097660a56395065-Abstract.html,https://dblp.org/rec/conf/nips/JaitlyLVSSB16
2000,2000,2016,Kevin G. Jamieson,UC Berkeley,,Benjamin Recht,UC Berkeley,,NIPS,the power of adaptivity in identifying statistical alternatives.,3,https://proceedings.neurips.cc/paper/2016/hash/98b297950041a42470269d56260243a1-Abstract.html,https://dblp.org/rec/conf/nips/JamiesonHR16
2001,2001,2016,Xu Jia,KU Leuven,,Luc Van Gool,ETH Zürich,,NIPS,dynamic filter networks.,4,https://proceedings.neurips.cc/paper/2016/hash/8bf1211fd4b7b94528899de0a43b9fb3-Abstract.html,https://dblp.org/rec/conf/nips/JiaBTG16
2002,2002,2016,Zequn Jie,National Univ of Singapore,,Shuicheng Yan,National University of Singapore,,NIPS,tree-structured reinforcement learning for sequential object localization.,6,https://proceedings.neurips.cc/paper/2016/hash/812b4ba287f5ee0bc9d43bbf5bbe87fb-Abstract.html,https://dblp.org/rec/conf/nips/JieLFJLY16
2003,2003,2016,Chi Jin,UC Berkeley,,Praneeth Netrapalli,Microsoft Research,,NIPS,provable efficient online matrix completion via non-convex stochastic gradient descent.,3,https://proceedings.neurips.cc/paper/2016/hash/38651c4450f87348fcbe1f992746a954-Abstract.html,https://dblp.org/rec/conf/nips/JinKN16
2004,2004,2016,Chi Jin,,,Michael I. Jordan,,,NIPS,local maxima in the likelihood of gaussian mixture models - structural results and algorithmic consequences.,5,https://proceedings.neurips.cc/paper/2016/hash/3875115bacc48cca24ac51ee4b0e7975-Abstract.html,https://dblp.org/rec/conf/nips/JinZBWJ16
2005,2005,2016,Wittawat Jitkrittum,Gatsby Unit,,Arthur Gretton,"Gatsby Unit, UCL",,NIPS,interpretable distribution features with maximum testing power.,4,https://proceedings.neurips.cc/paper/2016/hash/0a09c8844ba8f0936c20bd791130d6b6-Abstract.html,https://dblp.org/rec/conf/nips/Jitkrittum0CG16
2006,2006,2016,Tyler B. Johnson,University of Washington,,Carlos Guestrin,University of Washington,,NIPS,unified methods for exploiting piecewise linear structure in convex optimization.,2,https://proceedings.neurips.cc/paper/2016/hash/cb2c2041d9763d84d7d655e81178f444-Abstract.html,https://dblp.org/rec/conf/nips/JohnsonG16
2007,2007,2016,Matthew Joseph,,,Aaron Roth 0001,,,NIPS,fairness in learning - classic and contextual bandits.,4,https://proceedings.neurips.cc/paper/2016/hash/eb163727917cbba1eea208541a643e74-Abstract.html,https://dblp.org/rec/conf/nips/JosephKMR16
2008,2008,2016,Jonathan Kadmon,Hebrew University,,Haim Sompolinsky,Hebrew University and Harvard University,,NIPS,optimal architectures in a solvable model of deep networks.,2,https://proceedings.neurips.cc/paper/2016/hash/0fe473396242072e84af286632d3f0ff-Abstract.html,https://dblp.org/rec/conf/nips/KadmonS16
2009,2009,2016,Lukasz Kaiser,,,Samy Bengio,,,NIPS,can active memory replace attention?,2,https://proceedings.neurips.cc/paper/2016/hash/fb8feff253bb6c834deb61ec76baa893-Abstract.html,https://dblp.org/rec/conf/nips/KaiserB16
2010,2010,2016,Satyen Kale,Google,,Dávid Pál,Google,,NIPS,hardness of online sleeping combinatorial optimization problems.,3,https://proceedings.neurips.cc/paper/2016/hash/184260348236f9554fe9375772ff966e-Abstract.html,https://dblp.org/rec/conf/nips/KaleLP16
2011,2011,2016,Motonobu Kanagawa,The Institute of Statistical Mathematics,,Kenji Fukumizu,Institute of Statistical Mathematics / Preferred Networks / RIKEN AIP,,NIPS,convergence guarantees for kernel-based quadrature rules in misspecified settings.,3,https://proceedings.neurips.cc/paper/2016/hash/81c650caac28cdefce4de5ddc18befa0-Abstract.html,https://dblp.org/rec/conf/nips/KanagawaSF16
2012,2012,2016,Kirthevasan Kandasamy,CMU,,Eric P. Xing,Carnegie Mellon University,,NIPS,learning hmms with nonparametric emissions via spectral decompositions of continuous matrices.,3,https://proceedings.neurips.cc/paper/2016/hash/afe434653a898da20044041262b3ac74-Abstract.html,https://dblp.org/rec/conf/nips/KandasamyAX16
2013,2013,2016,Kirthevasan Kandasamy,CMU,,Barnabás Póczos,Carnegie Mellon University,,NIPS,gaussian process bandit optimisation with multi-fidelity evaluations.,5,https://proceedings.neurips.cc/paper/2016/hash/605ff764c617d3cd28dbbdd72be8f9a2-Abstract.html,https://dblp.org/rec/conf/nips/KandasamyDOSP16
2014,2014,2016,Kirthevasan Kandasamy,CMU,,Jeff G. Schneider,CMU,,NIPS,the multi-fidelity multi-armed bandit.,4,https://proceedings.neurips.cc/paper/2016/hash/2ba596643cbbbc20318224181fa46b28-Abstract.html,https://dblp.org/rec/conf/nips/KandasamyDPS16
2015,2015,2016,Ashish Kapoor,Microsoft,,Krysta M. Svore,Microsoft,,NIPS,quantum perceptron models.,3,https://proceedings.neurips.cc/paper/2016/hash/d47268e9db2e9aa3827bba3afb7ff94a-Abstract.html,https://dblp.org/rec/conf/nips/KapoorWS16
2016,2016,2016,Zohar S. Karnin,Yahoo Research,,Zohar S. Karnin,Yahoo Research,,NIPS,verification based solution for structured mab problems.,1,https://proceedings.neurips.cc/paper/2016/hash/65b9eea6e1cc6bb9f0cd2a47751a186f-Abstract.html,https://dblp.org/rec/conf/nips/Karnin16
2017,2017,2016,Zohar S. Karnin,,,Oren Anava,,,NIPS,multi-armed bandits - competing with optimal sequences.,2,https://proceedings.neurips.cc/paper/2016/hash/47d1e990583c9c67424d369f3414728e-Abstract.html,https://dblp.org/rec/conf/nips/KarninA16
2018,2018,2016,Seyed Hamidreza Kasaei,IEETA,,Luís Seabra Lopes,University of Averio,,NIPS,hierarchical object representation for open-ended object category learning and recognition.,3,https://proceedings.neurips.cc/paper/2016/hash/299a23a2291e2126b91d54f3601ec162-Abstract.html,https://dblp.org/rec/conf/nips/KasaeiTL16
2019,2019,2016,Tarun Kathuria,Microsoft Research,,Pushmeet Kohli,Microsoft Research,,NIPS,batched gaussian process bandit optimization via determinantal point processes.,3,https://proceedings.neurips.cc/paper/2016/hash/a1d7311f2a312426d710e1c617fcbc8c-Abstract.html,https://dblp.org/rec/conf/nips/KathuriaDK16
2020,2020,2016,Kenji Kawaguchi,MIT,,Kenji Kawaguchi,MIT,,NIPS,deep learning without poor local minima.,1,https://proceedings.neurips.cc/paper/2016/hash/f2fc990265c712c49d51a18a32b39f0c-Abstract.html,https://dblp.org/rec/conf/nips/Kawaguchi16
2021,2021,2016,Yoshinobu Kawahara,Osaka University,,Yoshinobu Kawahara,Osaka University,,NIPS,dynamic mode decomposition with reproducing kernels for koopman spectral analysis.,1,https://proceedings.neurips.cc/paper/2016/hash/1728efbda81692282ba642aafd57be3a-Abstract.html,https://dblp.org/rec/conf/nips/Kawahara16
2022,2022,2016,Seyed Mehran Kazemi,UBC,,David Poole 0001,UBC,,NIPS,new liftable classes for first-order probabilistic inference.,4,https://proceedings.neurips.cc/paper/2016/hash/c88d8d0a6097754525e02c2246d8d27f-Abstract.html,https://dblp.org/rec/conf/nips/KazemiKBP16
2023,2023,2016,Koosha Khalvati,University of Washington,,Rajesh P. Rao,University of Washington,,NIPS,a probabilistic model of social decision making based on reward maximization.,4,https://proceedings.neurips.cc/paper/2016/hash/1abb1e1ea5f481b589da52303b091cbb-Abstract.html,https://dblp.org/rec/conf/nips/KhalvatiPDR16
2024,2024,2016,Ashish Khetan,University of Illinois Urbana-,,Sewoong Oh,UIUC,,NIPS,computational and statistical tradeoffs in learning to rank.,2,https://proceedings.neurips.cc/paper/2016/hash/2421fcb1263b9530df88f7f002e78ea5-Abstract.html,https://dblp.org/rec/conf/nips/KhetanO16
2025,2025,2016,Ashish Khetan,University of Illinois Urbana-,,Sewoong Oh,UIUC,,NIPS,achieving budget-optimality with adaptive schemes in crowdsourcing.,2,https://proceedings.neurips.cc/paper/2016/hash/03e7ef47cee6fa4ae7567394b99912b7-Abstract.html,https://dblp.org/rec/conf/nips/KhetanO16a
2026,2026,2016,Justin T. Khim,University of Pennsylvania,,Po-Ling Loh,Berkeley,,NIPS,computing and maximizing influence in linear threshold and triggering models.,3,https://proceedings.neurips.cc/paper/2016/hash/66e8ba8216a1e152d72653d99a4f03ab-Abstract.html,https://dblp.org/rec/conf/nips/KhimJL16
2027,2027,2016,Jisu Kim,Carnegie Mellon University,,Larry A. Wasserman,Carnegie Mellon University,,NIPS,statistical inference for cluster trees.,5,https://proceedings.neurips.cc/paper/2016/hash/a9b7ba70783b617e9998dc4dd82eb3c5-Abstract.html,https://dblp.org/rec/conf/nips/KimCBRW16
2028,2028,2016,Been Kim,,,Rajiv Khanna,,,NIPS,"examples are not enough, learn to criticize! criticism for interpretability.",3,https://proceedings.neurips.cc/paper/2016/hash/5680522b8e2bb01943234bce7bf84534-Abstract.html,https://dblp.org/rec/conf/nips/KimKK16
2029,2029,2016,Jin-Hwa Kim,Seoul National University,,Byoung-Tak Zhang,Seoul National University,,NIPS,multimodal residual learning for visual qa.,7,https://proceedings.neurips.cc/paper/2016/hash/9b04d152845ec0a378394003c96da594-Abstract.html,https://dblp.org/rec/conf/nips/KimLKHKHZ16
2030,2030,2016,Diederik P. Kingma,Google,,Max Welling,University of Amsterdam / Qualcomm AI Research,,NIPS,improving variational autoencoders with inverse autoregressive flow.,6,https://proceedings.neurips.cc/paper/2016/hash/ddeebdeefdb7e7e7a697e1c3e3d8ef54-Abstract.html,https://dblp.org/rec/conf/nips/KingmaSJCCSW16
2031,2031,2016,Hassan A. Kingravi,,,Girish Chowdhary 0001,,,NIPS,kernel observers - systems-theoretic modeling and inference of spatiotemporally evolving processes.,3,https://proceedings.neurips.cc/paper/2016/hash/9d7311ba459f9e45ed746755a32dcd11-Abstract.html,https://dblp.org/rec/conf/nips/KingraviMC16
2032,2032,2016,Alexander Kirillov,TU Dresden,,Bogdan Savchynskyy,TU Dresden,,NIPS,joint m-best-diverse labelings as a parametric submodular minimization.,4,https://proceedings.neurips.cc/paper/2016/hash/979d472a84804b9f647bc185a877a8b5-Abstract.html,https://dblp.org/rec/conf/nips/KirillovSRS16
2033,2033,2016,Risi Kondor,The University of Chicago,,Horace Pan,UChicago,,NIPS,the multiscale laplacian graph kernel.,2,https://proceedings.neurips.cc/paper/2016/hash/6d3a1e06d6a06349436bc054313b648c-Abstract.html,https://dblp.org/rec/conf/nips/KondorP16
