,first-author,first-author-affiliation,First Author Gender,last-author,last-author-affiliation,Last Author Gender,title
199,Tijana Zrnic,"University of California, Berkeley",Female,University of California Moritz Hardt,"University of California, Berkeley",Male,Natural Analysts in Adaptive Data Analysis
200,Gellért Weisz,DeepMind,,Csaba Szepesvari,DeepMind/University of Alberta,Male,CapsAndRuns: An Improved Method for Approximately Optimal Algorithm Configuration
201,Giulia Luise,University College London,Female,Carlo Ciliberto,Imperial College London,Male,Leveraging Low-Rank Relations Between Surrogate Tasks in Structured Prediction
202,Andrew Cotter,Google AI,Male,Seungil You,Kakao Mobility,Male,Training Well-Generalizing Classifiers for Fairness Metrics and Other Data-Dependent Constraints
203,Raphael Meyer,Purdue University,Male,Jean Honorio,Purdue University,Male,Optimality Implies Kernel Sum Classifiers are Statistically Efficient
204,Lydia T. Liu,University of California Berkeley,Female,University of California Moritz Hardt,"University of California, Berkeley",Male,The Implicit Fairness Criterion of Unconstrained Learning
205,Hye Won Chung,KAIST,Female,Ji Oon Lee,KAIST,Male,Weak Detection of Signal in the Spiked Wigner Model
206,Dong Yin,UC Berkeley,Male,Peter Bartlett,UC Berkeley,Male,Rademacher Complexity for Adversarially Robust Generalization
207,Simon Du,Carnegie Mellon University,Male,John Langford,Microsoft Research,Male,Provably efficient RL with Rich Observations via Latent State Decoding
208,Jinglin Chen,University of Illinois at Urbana-Champaign,Female,Nan Jiang,University of Illinois at Urbana-Champaign,Male,Information-Theoretic Considerations in Batch Reinforcement Learning
209,Francisco Ruiz,University of Cambridge / Columbia University,Male,Michalis Titsias,DeepMind,Male,A Contrastive Divergence for Combining Variational Inference and MCMC
210,Hanwen Xing,University of Oxford,,Jeong Lee,University of Auckland,Female,Calibrated Approximate Bayesian Inference
211,Christian Wildner,TU Darmstadt,Male,Heinz Koeppl,TU Darmstadt,Male,Moment-Based Variational Inference for Markov Jump Processes
212,Chang Liu,Tsinghua University,Male,Jun Zhu,Tsinghua University,Male,Understanding MCMC Dynamics as Flows on the Wasserstein Space
213,Brian Trippe,MIT,Male,Tamara Broderick,MIT,Female,LR-GLM: High-Dimensional Bayesian Inference Using Low-Rank Data Approximations
214,Adam Golinski,University of Oxford,Male,Tom Rainforth,University of Oxford,Male,Amortized Monte Carlo Integration
215,Wilson Ye Chen,The Institute of Statistical Mathematics,Male,Chris Oates,Newcastle University,Male,Stein Point Markov Chain Monte Carlo
216,Wu Lin,University of British Columbia,,Mark Schmidt,University of British Columbia,Male,Fast and Simple Natural-Gradient Variational Inference with Mixture of Exponential-family Approximations
217,Xinshi Chen,Georgia Institution of Technology,Female,Le Song,Georgia Institute of Technology,Male,Particle Flow Bayes' Rule
218,Da Tang,Columbia University,,Nicholas Ruozzi,UT Dallas,Male,Correlated Variational Auto-Encoders
219,Zhu Li,University of Oxford,Male,Dino Sejdinovic,University of Oxford,Male,Towards a Unified Analysis of Random Fourier Features
220,Kevin Wenliang,"Gatsby Unit, University College London",Male,Arthur Gretton,Gatsby Computational Neuroscience Unit,Male,Learning deep kernels for exponential family densities
221,Kelvin Hsu,"University of Sydney, CSIRO",Male,Fabio Ramos,"NVIDIA, University of Sydney",Male,Bayesian Deconditional Kernel Mean Embeddings
222,Alberto Bietti,Inria,Male,Julien Mairal,Inria,Male,A Kernel Perspective for Regularizing Deep Neural Networks
223,Bastian Rieck,ETH Zurich,Male,Karsten Borgwardt,ETH Zurich,Male,A Persistent Weisfeiler--Lehman Procedure for Graph Classification
224,Paris Siminelakis,Stanford University,Male,Philip Levis,Stanford University,Male,Rehashing Kernel Evaluation in High Dimensions
225,Viivi Uurtio,Aalto University,,Juho Rousu,Aalto University,Male,Large-Scale Sparse Kernel Canonical Correlation Analysis
226,Tri Dao,Stanford,Male,Christopher Re,Stanford,Male,A Kernel Theory of Modern Data Augmentation
227,Lotfi Slim,Mines ParisTech (ARMINES),Male,JP Vert,Google,Male,kernelPSI: a Post-Selection Inference Framework for Nonlinear Variable Selection
228,Dino Oglic,King's College London,,Thomas Gaertner,The University of Nottingham,Male,Scalable Learning in Reproducing Kernel Krein Spaces
229,Mikhail Yurochkin,"IBM Research, MIT-IBM Watson AI Lab",Male,XuanLong Nguyen,University of Michigan,Male,Dirichlet Simplex Nest and Geometric Inference
230,Måns Magnusson,Aalto University,Male,Aki Vehtari,Aalto University,Male,Bayesian leave-one-out cross-validation for large data
231,Runjing Liu,UC Berkeley,Male,Jon McAuliffe,Voleon Group and University of California at Berkeley,Male,Rao-Blackwellized Stochastic Gradients for Discrete Distributions
232,Sidi Lu,Shanghai Jiao Tong University,,Jiajun Wu,MIT,Male,Neurally-Guided Structure Inference
233,Richard Li,Yale School of Public Health,Male,Samuel Clark,The Ohio State University,Male,Bayesian Joint Spike-and-Slab Graphical Lasso
234,Raj Nirwan,Frankfurt Institute for Advanced Studies,Male,Nils Bertschinger,Frankfurt Institute for Advanced Studies ,Male,Rotation Invariant Householder Parameterization for Bayesian PCA
235,Amin Nayebi,University of Arizona,Male,Matthias Poloczek,Uber AI Labs & The University of Arizona,Male,A Framework for Bayesian Optimization in Embedded Subspaces
236,CHAOJIE WANG,XIDIAN UNIVERSITY,Male,Mingyuan Zhou,University of Texas at Austin,Male,Convolutional Poisson Gamma Belief Network
237,David Greenberg,Technical University of Munich,Male,Jakob Macke,Technical University of Munich,Male,Automatic Posterior Transformation for Likelihood-Free Inference
238,Iiris Sundin,Aalto University,Female,Samuel Kaski,Aalto University,Male,Active Learning for Decision-Making from Imbalanced Observational Data
239,Ahmed Alaa,UCLA,Male,Mihaela van der Schaar,UCLA,Male,Validating Causal Inference Models via Influence Functions
240,Charith Mendis,MIT,Male,Michael Carbin,MIT,Male,"Ithemal: Accurate, Portable and Fast Basic Block Throughput Estimation using Deep Neural Networks"
241,Jon Gillick,UC Berkeley,Male,David Bamman,UC Berkeley,Male,Learning to Groove with Inverse Sequence Transformations
242,Lei Han,Tencent AI Lab,Male,Tong Zhang,Tecent AI Lab,Male,Grid-Wise Control for Multi-Agent Reinforcement Learning in Video Game AI
243,Kshitij Bansal,Google Research,Male,Stewart Wilcox,Googl,Male,HOList: An Environment for Machine Learning of Higher Order Logic Theorem Proving
244,Hiroshi Kajino,MIT-IBM Watson AI Lab / IBM Research,Male,Hiroshi Kajino,MIT-IBM Watson AI Lab / IBM Research,Male,Molecular Hypergraph Grammar with Its Application to Molecular Optimization
245,Dasaem Jeong,KAIST,Male,Juhan Nam,KAIST,Male,Graph Neural Network for Music Score Data and Modeling Expressive Piano Performance
246,Kaiyu Yang,Princeton University,Male,Jia Deng,Princeton University,Male,Learning to Prove Theorems via Interacting with Proof Assistants
247,GUO ZHANG,MIT,Male,Dina Katabi,MIT,Female,Circuit-GNN: Graph Neural Networks for Distributed Circuit Design
248,Daniel Greenfeld,Weizmann Institute of Science,Male,Ron Kimmel,Technion,Male,Learning to Optimize Multigrid PDE Solvers
249,Ramin Raziperchikolaei,UC MErced,Male,Harish Bhat,"University of California, Merced",Male,A Block Coordinate Descent Proximal Method for Simultaneous Filtering and Parameter Estimation
250,William Trouleau,EPFL,Male,Patrick Thiran,EPFL,Male,Learning Hawkes Processes Under Synchronization Noise
251,Xinshi Chen,Georgia Institution of Technology,Female,Le Song,Georgia Institute of Technology,Male,Generative Adversarial User Model for Reinforcement Learning Based Recommendation System
252,Alexander Greaves-Tunnell,University of Washington,Male,Zaid Harchaoui,University of Washington,Male,A Statistical Investigation of Long Memory in Language and Music
253,Bernie Wang,AWS AI Labs,Male,Tim Januschowski,Amazon Research,Male,Deep Factors for Forecasting
254,Julien Schroeter,Cardiff University,Male,David Marshall,Cardiff University,Male,Weakly-Supervised Temporal Localization via Occurrence Count Learning
255,Philip Becker-Ehmck,Volkswagen Group,Male,Patrick van der Smagt,Volkswagen Group,Male,Switching Linear Dynamics for Variational Bayes Filtering
256,Hongyuan Mei,Johns Hopkins University,Male,Jason Eisner,Johns Hopkins University + Microsoft Semantic Machines,Male,Imputing Missing Events in Continuous-Time Event Streams
257,Doron Haviv,Technion,Male,Omri Barak,Technion - Israeli Institute of Technology,Male,Understanding and Controlling Memory in Recurrent Neural Networks
258,Philipp Becker,"Bosch Center for Artificial Intelligence, University of Tübingen",Male,Gerhard Neumann,Lincoln University,Male,Recurrent Kalman Networks: Factorized Inference in High-Dimensional Deep Feature Spaces
259,François-Pierre Paty,ENSAE Paris,Male,Marco Cuturi,Google and CREST/ENSAE,Male,Subspace Robust Wasserstein Distances
260,Kaspar Märtens,University of Oxford,Male,Christopher Yau,University of Birmingham,Male,Decomposing feature-level variation with Covariate Gaussian Process Latent Variable Models
261,Bobby Bridges,Oak Ridge National Laboratory,Male,Chelsey Hoff,N/A,Female,Active Manifolds: A non-linear analogue to Active Subspaces
262,Alexander Mathiasen,Aarhus University,Male,Allan Grønlund,"Aarhus University, MADALGO",Male,Optimal Minimal Margin Maximization with Boosting
263,Dennis Wei,IBM Research,Male,Oktay Gunluk,IBM Research,Male,Generalized Linear Rule Models
264,Pin-Yu Chen,IBM Research AI,Male,Indika Rajapakse,,Male,"Fast Incremental von Neumann Graph Entropy Computation: Theory, Algorithm, and Applications"
265,Julien Chiquet,INRA / AgroParisTech / Paris Saclay,Male,Mahendra Mariadassou,INRA,Male,Variational Inference for sparse network reconstruction from count data
266,Felix Wu,Cornell University,Male,Kilian Weinberger,Cornell University,Male,Simplifying Graph Convolutional Networks
267,Dimitris Kalimeris,Harvard University,Male,Yaron Singer,Harvard,Male,Robust Influence Maximization for Hyperparametric Models
268,Neale Ratzlaff,Oregon State University,Male,Fuxin Li,Oregon State University,Male,"HyperGAN: A Generative Model for Diverse, Performant Neural Networks"
269,David Burt,University of Cambridge,Male,Mark van der Wilk,PROWLER.io,Male,Rates of Convergence for Sparse Variational Gaussian Process Regression
270,Francesco Locatello,ETH Zurich - Max Planck Institute,Male,Olivier Bachem,Google Brain,Male,Challenging Common Assumptions in the Unsupervised Learning of Disentangled Representations
271,Priyank Jaini,"University of Waterloo, Vector Institute",Male,Yaoliang Yu,University of Waterloo,Male,Sum-of-Squares Polynomial Flow
272,Sungwon Kim,Seoul National University,,Sungroh Yoon,Seoul National University,Male,FloWaveNet : A Generative Flow for Raw Audio
273,Yingzhen Li,Microsoft Research Cambridge,Female,Yash Sharma,Universitat Tubingen/CIN,Male,Are Generative Classifiers More Robust to Adversarial Attacks?
274,Yucheng Chen,University of Illinois at Urbana-Champaign,Female,Jian Peng,UIUC,Male,"A Gradual, Semi-Discrete Approach to Generative Network Training via Explicit Wasserstein Minimization"
275,Emile Mathieu,University of Oxford,Male,Yee Whye Teh,Oxford and DeepMind,Male,Disentangling Disentanglement in Variational Autoencoders
276,Chao Ma,University of Cambridge,Male,Cheng Zhang,"Microsoft Research, Cambridge",Male,EDDI: Efficient Dynamic Discovery of High-Value Information with Partial VAE
277,Yoshihiro Nagano,The University of Tokyo,Male,Masanori Koyama,Preferred Networks Inc. ,Male,A Wrapped Normal Distribution on Hyperbolic Space for Gradient-Based Learning
278,Emiel Hoogeboom,University of Amsterdam,Male,Max Welling,University of Amsterdam & Qualcomm,Male,Emerging Convolutions for Generative Normalizing Flows
279,Karol Kurach,Google Brain,Male,Sylvain Gelly,Google Brain,Male,A Large-Scale Study on Regularization and Normalization in GANs
280,Chenyang Tao,Duke University,Male,Lawrence Carin,Duke,Male,Variational Annealing of GANs: A Langevin Perspective
281,Jens Behrmann,University of Bremen,Male,Jörn Jacobsen,Vector Institute and University of Toronto,Male,Invertible Residual Networks
282,Chris Ying,Ambient.ai,Male,Frank Hutter,University of Freiburg and Bosch Center for Artificial Intelligence,Male,NAS-Bench-101: Towards Reproducible Neural Architecture Search
283,XIAOHAN DING,Tsinghua University,Male,Chenggang Yan,Hangzhou Dianzi University,Male,Approximated Oracle Filter Pruning for Destructive CNN Width Optimization
284,Zhaohui Yang,Peking University,Male,Chang Xu,University of Sydney,Male,LegoNet: Efficient Convolutional Neural Networks with Lego Filters
285,Cem Anil,University of Toronto,Male,Roger Grosse,University of Toronto and Vector Institute,Male,Sorting Out Lipschitz Function Approximation
286,Ferran Alet,MIT,Male,Leslie Kaelbling,(organization),Female,"Graph Element Networks: adaptive, structured computation and memory"
287,Jongheon Jeong,KAIST,Male,Jinwoo Shin,"KAIST, AITRICS",Male,Training CNNs with Selective Allocation of Channels
288,Kai Sheng Tai,Stanford University,Male,Gregory Valiant,Stanford University,Male,Equivariant Transformer Networks
289,Yassine Benyahia,IPROVA,Male,Claudiu Musat,Swisscom,Male,Overcoming Multi-model Forgetting
290,Mikhail Yurochkin,IBM Research AI,Male,Yasaman Khazaeni,IBM Research,Female,Bayesian Nonparametric Federated Learning of Neural Networks
291,Xingrui Yu,University of Technology Sydney,Male,Masashi Sugiyama,RIKEN / The University of Tokyo,Male,How does Disagreement Help Generalization against Label Corruption?
292,Chaoqi Wang,University of Toronto,Male,Guodong Zhang,University of Toronto,Male,EigenDamage: Structured Pruning in the Kronecker-Factored Eigenbasis
293,Chen Huang,Apple Inc.,Male,Josh Susskind,"Apple, Inc.",Male,Addressing the Loss-Metric Mismatch with Adaptive Loss Alignment
294,Yan Wu,DeepMind,Male,Tim Lillicrap,Google DeepMind,Male,Deep Compressed Sensing
295,Ping Luo,The University of Hong Kong,Male,Wu lingyun,sensetime,Female,Differentiable Dynamic Normalization for Learning Deep Representation
296,Mo Zhou,Peking University,Male,Tuo Zhao,Georgia Institute of Technology,Male,Toward Understanding the Importance of Noise in Training Neural Networks
297,Mario Lezcano Casado,Univeristy of Oxford,Male,David Martínez-Rubio,University of Oxford,Male,Cheap Orthogonal Constraints in Neural Networks: A Simple Parametrization of the Orthogonal and Unitary Group
298,Ikuro Sato,"Denso IT Laboratory, Inc.",Male,Masayuki Tanaka,"National Institute of Advanced Industrial Science and Technology, Japan",Male,Breaking Inter-Layer Co-Adaptation by Classifier Anonymization
299,Zafarali Ahmed,Mila - McGill University,Male,Dale Schuurmans,Google / University of Alberta,Male,Understanding the Impact of Entropy on Policy Optimization
300,Casey Chu,Stanford University,Male,Peter Glynn,Stanford University,Male,"Probability Functional Descent: A Unifying Perspective on GANs, Variational Inference, and Reinforcement Learning"
301,Natasha Jaques,MIT,Female,Nando de Freitas,DeepMind,Male,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning
302,Rui Zhao,Siemens & Ludwig Maximilian University of Munich,Male,Volker Tresp,Siemens AG and University of Munich,Male,Maximum Entropy-Regularized Multi-Goal Reinforcement Learning
303,Ashley Edwards,Georgia Institute of Technology,Female,Charles Isbell,Georgia Institute of Technology,Male,Imitating Latent Policies from Observation
304,Marvin Zhang,UC Berkeley,Male,Sergey Levine,UC Berkeley,Male,SOLAR: Deep Structured Representations for Model-Based Reinforcement Learning
305,Seungyul Han,KAIST,,Youngchul Sung,KAIST,Male,Dimension-Wise Importance Sampling Weight Clipping for Sample-Efficient Reinforcement Learning
306,Victor Bapst,Google DeepMind,Male,Jessica Hamrick,DeepMind,Female,Structured agents for physical construction
307,Yunbo Zhang,Georgia Institute of Technology,Male,Greg Turk,Georgia Institute of Technology,Male,Learning Novel Policies For Tasks
308,Hao Liu,"Salesforce Research, UC Berkeley",Male,Caiming Xiong,Salesforce,Male,Taming MAML: Efficient unbiased meta-reinforcement learning
309,Deepak Pathak,UC Berkeley,Male,Abhinav Gupta,Carnegie Mellon University,Male,Self-Supervised Exploration via Disagreement
310,Kate Rakelly,UC Berkeley,Female,Deirdre Quillen,UC Berkeley,Female,Efficient Off-Policy Meta-Reinforcement Learning via Probabilistic Context Variables
311,Guy Tennenholtz,Technion,Male,Shie Mannor,Technion,Male,The Natural Language of Actions
312,Richard Cheng,California Institute of Technology,Male,Joel Burdick,Caltech,Male,Control Regularization for Reduced Variance Reinforcement Learning
313,Huan Wang,Salesforce Research,Male,Richard Socher,Salesforce,Male,On the Generalization Gap in Reparameterizable Reinforcement Learning
314,Andreas Doerr,"Bosch Center for Artificial Intelligence, Max Planck Institute for Intelligent Systems",Male,Christian Daniel,Bosch Center for Artificial Intelligence,Male,Trajectory-Based Off-Policy Deep Reinforcement Learning
315,Nathan Jay,University of Illinois Urbana-Champaign,Male,Aviv Tamar,Technion,Male,A Deep Reinforcement Learning Perspective on Internet Congestion Control
316,Pranav Shyam,NNAISENSE,Male,Faustino  Gomez,NNAISENSE SA,Male,Model-Based Active Exploration
317,Daniel Brown,University of Texas at Austin,Male,Scott Niekum,University of Texas at Austin,Male,Extrapolating Beyond Suboptimal Demonstrations via Inverse Reinforcement Learning from Observations
318,dror freirich,Technion,,Aviv Tamar,Technion,Male,Distributional Multivariate Policy Evaluation and Exploration with the Bellman GAN
319,Jingkai Mao,Man AHL,Male,Shimon Whiteson,University of Oxford,Male,A Baseline for Any Order Gradient Estimation in Stochastic Computation Graphs
320,Guido Novati,ETH Zurich,Male,Petros Koumoutsakos,ETH Zurich,Male,Remember and Forget for Experience Replay
321,Fritz Obermeyer,Uber AI Labs,Male,Noah Goodman,Uber AI Labs,Male,Tensor Variable Elimination for Plated Factor Graphs
322,zenna Tavares,MIT,Male,Rajesh Ranganath,New York University,Male,Predicate Exchange: Inference with Declarative Knowledge
323,Andrew Miller,Columbia University,Male,Sendhil Mullainathan,University of Chicago,Male,Discriminative Regularization for Latent Variable Models with Applications to Electrocardiography
324,Ping Liang Tan,University of Cambridge,Male,Robert Peharz,University of Cambridge,Male,Hierarchical Decompositional Mixtures of Variational Autoencoders
325,Ya-Ping Hsieh,EPFL,Male,Volkan Cevher,EPFL,Male,Finding Mixed Nash Equilibria of Generative Adversarial Networks
326,Thomas Kipf,University of Amsterdam,Male,Peter Battaglia,DeepMind,Male,CompILE: Compositional Imitation Learning and Execution
327,Luigi Antelmi,"UCA, Inria",Male,Marco Lorenzi,"Inria UCA,",Male,Sparse Multi-Channel Variational Autoencoder for the Joint Analysis of Heterogeneous Data
328,Yuan Gao,Xi'an Jiaotong University,Male,Shunkang Zhang,HKUST,Male,Deep Generative Learning via Variational Gradient Flow
329,Jonathan Ho,UC Berkeley,Male,Pieter Abbeel,OpenAI / UC Berkeley,Male,Flow++: Improving Flow-Based Generative Models with Variational Dequantization and Architecture Design
330,Halley R Young,University of Pennsylvania,Undefined,Mayur Naik,University of Pennsylvania,Male,Learning Neurosymbolic Generative Models via Program Synthesis
331,Hongyang Zhang,CMU & TTIC,Male,Michael Jordan,UC Berkeley,Male,Theoretically Principled Trade-off between Robustness and Accuracy
332,Kevin Roth,ETH Zurich,Male,Thomas Hofmann,ETH Zurich,Male,The Odds are Odd: A Statistical Test for Detecting Adversarial Examples
333,Yuzhe Yang,MIT,Male,Dina Katabi,MIT,Female,ME-Net: Towards Effective Adversarial Robustness with Matrix Estimation
334,Jeremy Cohen,Carnegie Mellon University,Male,Zico Kolter,Carnegie Mellon University / Bosch Center for AI,Male,Certified Adversarial Robustness via Randomized Smoothing
335,Yao Qin,"University of California, San Diego",Female,Colin Raffel,Google,Male,"Imperceptible, Robust, and Targeted Adversarial Examples for Automatic Speech Recognition"
336,Seungyong Moon,Seoul National University,Male,Hyun Oh Song,Seoul National University,Male,Parsimonious Black-Box Adversarial Attacks via Efficient Combinatorial Optimization
337,Eric Wong,Carnegie Mellon University,Male,Zico Kolter,Carnegie Mellon University / Bosch Center for AI,Male,Wasserstein Adversarial Examples via Projected Sinkhorn Iterations
338,Chen Zhu,University of Maryland,Male,Tom Goldstein,University of Maryland,Male,Transferable Clean-Label Poisoning Attacks on Deep Neural Nets
339,Yandong li,University of Central Florida,Male,Boqing Gong,Google,Male,NATTACK: Learning the Distributions of Adversarial Examples for an Improved  Black-Box  Attack on Deep Neural Networks
340,Chuan Guo,Cornell University,Male,Kilian Weinberger,Cornell University,Male,Simple Black-box Adversarial Attacks
341,Amin Jaber,Purdue University,Male,Elias Bareinboim,Purdue,Male,Causal Identification under Markov Equivalence: Completeness Results
342,Mike Oberst,MIT,Male,David Sontag,Massachusetts Institute of Technology,Male,Counterfactual Off-Policy Evaluation with Gumbel-Max Structural Causal Models
343,Biwei Huang,Carnegie Mellon University,Female,Clark Glymour,Carnegie Mellon University,Male,Causal Discovery and Forecasting in Nonstationary Environments with State-Space Models
344,Nathan Kallus,Cornell University,Male,Nathan Kallus,Cornell University,Male,Classifying Treatment Responders Under Causal Effect Monotonicity
345,Roy Adams,Johns Hopkins University,Male,Suchi Saria,Johns Hopkins University,Female,Learning Models from Data with Measurement Error: Tackling Underreporting
346,Juan Correa,Purdue University,Male,Elias Bareinboim,Purdue,Male,Adjustment Criteria for Generalizing Experimental Findings
347,Yujia Shen,UCLA,Female,Adnan Darwiche,UCLA,Male,Conditional Independence in Testing Bayesian Networks
348,Carlos Cinelli,UCLA,Male,Elias Bareinboim,Purdue,Male,Sensitivity Analysis of Linear Structural Causal Models
349,Aurelien Bibaut,UC Berkeley,Male,Mark van der Laan,UC Berkeley,Male,More Efficient Off-Policy Evaluation through Regularized Targeted Learning
350,Muhammad Osama,Uppsala University,Male,Thomas Schön,Uppsala University,Male,Inferring Heterogeneous Causal Effects in Presence of Spatial Confounding
351,Martin A Bertran,Duke University,Male,Guillermo Sapiro,Duke University,Male,Adversarially Learned Representations for Information Obfuscation and Inference
352,Ryu Tanno,University College London,Male,Aditya Nori,Microsoft Research Cambridge,Male,Adaptive Neural Trees
353,Christoph Hofer,University of Salzburg,Male,Mandar Dixit,Microsoft,Male,Connectivity-Optimized Representation Learning via Persistent Homology
354,Milan Cvitkovic,California Institute of Technology,Male,Günther Koliander,Austrian Academy of Sciences,Male,Minimal Achievable Sufficient Statistic Learning
355,Dmitry Baranchuk,Yandex,Male,Artem Babenko,Yandex,Male,Learning to Route in Similarity Graphs
356,Ilya Feige,Faculty,Male,Ilya Feige,Faculty,Male,Invariant-Equivariant Representation Learning for Multi-Class Data
357,Kelsey Allen,Massachusetts Institute of Technology,Female,Josh Tenenbaum,MIT,Male,Infinite Mixture Prototypes for Few-shot Learning
358,Sami Abu-El-Haija,USC Information Sciences Institute,Male,Aram Galstyan,USC ISI,Male,MixHop: Higher-Order Graph Convolutional Architectures via Sparsified Neighborhood Mixing
359,Xilai Li,NC State University,Male,Caiming Xiong,Salesforce,Male,Learn to Grow: A Continual Structure Learning Framework for Overcoming Catastrophic Forgetting
360,Lior Shani,Technion,Male,Shie Mannor,Technion,Male,Exploration Conscious Reinforcement Learning Revisited
361,Boris Hanin,Texas A&M and Facebook AI Research,Male,David Rolnick,University of Pennsylvania,Male,Complexity of Linear Regions in Deep Networks
362,Quynh Nguyen,Saarland University,Male,Quynh Nguyen,Saarland University,Male,On Connected Sublevel Sets in Deep Learning
363,Justin Gilmer,Google Brain,Male,Ekin Cubuk,Google Brain,Male,Adversarial Examples Are a Natural Consequence of Test Error in Noise
364,Eugene Belilovsky,"Mila, University of Montreal",Male,Edouard Oyallon,CentraleSupélec,Male,Greedy Layerwise Learning Can Scale To ImageNet
365,Soufiane Hayou,University of Oxford,Male,Judith Rousseau,University of Oxford,Female,On the Impact of the Activation function on Deep Neural Networks Training
366,Ziv Goldfeld,MIT,Male,Yury Polyanskiy,MIT,Male,Estimating Information Flow in Deep Neural Networks
367,Zhanxing Zhu,Peking University,Male,Jinwen Ma,Peking University,Male,The Anisotropic Noise in Stochastic Gradient Descent: Its Behavior of Escaping from Sharp Minima and Regularization Effects
368,Antoine Labatie,Labatie-AI,Male,Antoine Labatie,Labatie-AI,Male,Characterizing Well-Behaved vs. Pathological Deep Neural Networks
369,Jong Ye,"""Department of Bio and Brain Engineering, KAIST, Korea""",Male,woonkyoung Sung,KAIST,Male,Understanding Geometry of Encoder-Decoder CNNs
370,Michael Mahoney,UC Berkeley,Male,Charles H Martin,Calculation Consulting,Male,Traditional and Heavy Tailed Self Regularization in Neural Network Models
371,Olivier Fercoq,"Télécom ParisTech, Université Paris-Saclay",Male,Volkan Cevher,EPFL,Male,Almost surely constrained convex optimization
372,Sobhan Naderi Parizi,Google Inc.,Male,Pedro Felzenszwalb,Brown University,Male,Generalized Majorization-Minimization
373,Hao Yu,Alibaba Group (US) Inc,Male,rong jin,alibaba group,Male,On the Computation and Communication Complexity of Parallel SGD with Dynamic Batch Sizes for Stochastic Non-Convex Optimization
374,Michael Metel,RIKEN Center for Advanced Intelligence Project,Male,Akiko Takeda,The University of Tokyo / RIKEN,Female,Simple Stochastic Gradient Methods for Non-Smooth Non-Convex Regularized Optimization
375,zhenxun zhuang,Boston University,Male,Francesco Orabona,Stony Brook University,Male,Surrogate Losses for Online Learning of Stepsizes in Stochastic Non-Convex Optimization
376,Dar Gilboa,Columbia University,Male,John Wright,"Columbia University, USA",Male,Efficient Dictionary Learning with Gradient Descent
377,Ernest Ryu,"University of California, Los Angeles",Male,Wotao Yin,Alibaba US,Male,Plug-and-Play Methods Provably Converge with Properly Trained Denoisers
378,Hiroyuki Kasai,The University of Electro-Communications,Male,Bamdev Mishra,Microsoft,Male,Riemannian adaptive stochastic gradient algorithms on matrix manifolds
379,Yi Xu,The University of Iowa,Male,Tianbao Yang,The University of Iowa,Male,Stochastic Optimization for DC Functions and Non-smooth Non-convex Regularizers with Non-asymptotic Convergence
380,Qiuwei Li,Colorado School of Mines,Male,Gongguo Tang,Colorado School of Mines,Male,Alternating Minimizations Converge to Second-Order Optimal Solutions
381,Wen Sun,Carnegie Mellon University,Male,Drew Bagnell,Carnegie Mellon University,Male,Provably Efficient Imitation Learning from Observation Alone
382,Mehdi Fatemi,Microsoft Research,Male,Samira Ebrahimi Kahou,Microsoft Research,Female,Dead-ends and Secure Exploration in Reinforcement Learning
383,Mark Rowland,DeepMind,Male,Will Dabney,DeepMind,Male,Statistics and Samples in Distributional Reinforcement Learning
384,Zebang Shen,Zhejiang University,,Chao Mi,Zhejiang University,Male,Hessian Aided Policy Gradient
385,Elad Hazan,Princeton University,Male,Abby Van Soest,Princeton University,Female,Provably Efficient Maximum Entropy Exploration
386,Omer Gottesman,Harvard University,Male,Finale Doshi-Velez,Harvard University,Female,Combining parametric and nonparametric models for off-policy evaluation
387,Lin Yang,Princeton,,Mengdi Wang,Princeton University,Female,Sample-Optimal Parametric Q-Learning Using Linearly Additive Features
388,Andrea Tirinzoni,Politecnico di Milano,Female,Marcello Restelli,Politecnico di Milano,Male,Transfer of Samples in Policy Search via Multiple Importance Sampling
389,Chen Tessler,Technion,Male,Shie Mannor,Technion,Male,Action Robust Reinforcement Learning and Applications in Continuous Control
390,Shiau Hong Lim,IBM Research,Male,Arnaud Autef,Ecole Polytechnique,Male,Kernel-Based Reinforcement Learning in Robust Markov Decision Processes
391,Shiyin Lu,Nanjing University,Male,Lijun Zhang,Nanjing University,Male,Optimal Algorithms for Lipschitz Bandits with Heavy-tailed Rewards
392,Margaux Brégère,"CNRS Université Paris-Sud, Inria Paris, EDF R&D",Female,Gilles Stoltz,Université paris Sud,Male,Target Tracking for Contextual Bandits: Application to Demand Side Management
393,Vinay Praneeth Boda,LinkedIn Corp.,Male,Prashanth L.A.,IIT Madras,Male,Correlated bandits or: How to minimize mean-squared error online
394,Ping-Chun Hsieh,Texas A&M University,Male,P R Kumar,Texas A & M University,Male,Stay With Me: Lifetime Maximization Through Heteroscedastic Linear Bandits With Reneging
395,Branislav Kveton,Google Research,Male,Mohammad Ghavamzadeh,Facebook AI Research,Male,"Garbage In, Reward Out: Bootstrapping Exploration in Multi-Armed Bandits"
396,Julian Zimmert,University of Copenhagen,Male,Chen-Yu Wei,University of Southern California,Male,Beating Stochastic and Adversarial Semi-bandits Optimally and Simultaneously
397,Kwang-Sung Jun,Boston University,Male,Robert Nowak,University of Wisconsion-Madison,Male,Bilinear Bandits with Low-rank Structure 
398,Shuai Li,The Chinese University of Hong Kong,Female,Csaba Szepesvari,DeepMind/University of Alberta,Male,Online Learning to Rank with Features
